id,name,abbrev,logo,build_up_play_speed,build_up_play_dribble,build_up_play_passing,creation_date
9987,KRC Genk,GEN,https://example.com/logos/9987.png,Balanced,Normal,Mixed,2015-09-10
9993,Beerschot AC,BAC,https://example.com/logos/9993.png,Balanced,Little,Mixed,2013-09-20
10000,SV Zulte-Waregem,ZUL,https://example.com/logos/10000.png,Balanced,Normal,Mixed,2015-09-10
9994,Sporting Lokeren,LOK,https://example.com/logos/9994.png,Balanced,Normal,Mixed,2015-09-10
9984,KSV Cercle Brugge,CEB,https://example.com/logos/9984.png,Balanced,Normal,Mixed,2015-09-10
8635,RSC Anderlecht,AND,https://example.com/logos/8635.png,Balanced,Normal,Mixed,2015-09-10
9991,KAA Gent,GEN,https://example.com/logos/9991.png,Balanced,Normal,Mixed,2015-09-10
9998,RAEC Mons,MON,https://example.com/logos/9998.png,Balanced,Normal,Mixed,2014-09-19
7947,FCV Dender EH,DEN,https://example.com/logos/7947.png,,,,
9985,Standard de Liège,STL,https://example.com/logos/9985.png,Balanced,Normal,Mixed,2015-09-10
8203,KV Mechelen,MEC,https://example.com/logos/8203.png,Balanced,Normal,Mixed,2015-09-10
8342,Club Brugge KV,CLB,https://example.com/logos/8342.png,Balanced,Normal,Mixed,2015-09-10
9999,KSV Roeselare,ROS,https://example.com/logos/9999.png,Balanced,Little,Mixed,2010-02-22
8571,KV Kortrijk,KOR,https://example.com/logos/8571.png,Balanced,Normal,Mixed,2015-09-10
4049,Tubize,TUB,https://example.com/logos/4049.png,,,,
9996,Royal Excel Mouscron,MOU,https://example.com/logos/9996.png,Balanced,Normal,Mixed,2015-09-10
10001,KVC Westerlo,WES,https://example.com/logos/10001.png,Balanced,Normal,Mixed,2015-09-10
9986,Sporting Charleroi,CHA,https://example.com/logos/9986.png,Balanced,Normal,Mixed,2015-09-10
9997,Sint-Truidense VV,STT,https://example.com/logos/9997.png,Balanced,Little,Mixed,2012-02-22
9989,Lierse SK,LIE,https://example.com/logos/9989.png,Fast,Normal,Mixed,2015-09-10
6351,KAS Eupen,EUP,https://example.com/logos/6351.png,Balanced,Little,Mixed,2011-02-22
1773,Oud-Heverlee Leuven,O-H,https://example.com/logos/1773.png,Balanced,Normal,Mixed,2014-09-19
8475,Waasland-Beveren,WAA,https://example.com/logos/8475.png,Balanced,Normal,Mixed,2015-09-10
8573,KV Oostende,OOS,https://example.com/logos/8573.png,Balanced,Normal,Mixed,2015-09-10
274581,Royal Excel Mouscron,MOP,https://example.com/logos/274581.png,Balanced,Normal,Mixed,2015-09-10
10260,Manchester United,MUN,https://example.com/logos/10260.png,Balanced,Normal,Mixed,2015-09-10
10261,Newcastle United,NEW,https://example.com/logos/10261.png,Balanced,Normal,Mixed,2015-09-10
9825,Arsenal,ARS,https://example.com/logos/9825.png,Balanced,Normal,Short,2015-09-10
8659,West Bromwich Albion,WBA,https://example.com/logos/8659.png,Balanced,Little,Mixed,2015-09-10
8472,Sunderland,SUN,https://example.com/logos/8472.png,Balanced,Normal,Mixed,2015-09-10
8650,Liverpool,LIV,https://example.com/logos/8650.png,Balanced,Normal,Mixed,2015-09-10
8654,West Ham United,WHU,https://example.com/logos/8654.png,Fast,Normal,Mixed,2015-09-10
8528,Wigan Athletic,WIG,https://example.com/logos/8528.png,Balanced,Normal,Mixed,2015-09-10
10252,Aston Villa,AVL,https://example.com/logos/10252.png,Balanced,Normal,Mixed,2015-09-10
8456,Manchester City,MCI,https://example.com/logos/8456.png,Balanced,Normal,Short,2015-09-10
8668,Everton,EVE,https://example.com/logos/8668.png,Balanced,Normal,Mixed,2015-09-10
8655,Blackburn Rovers,BLB,https://example.com/logos/8655.png,Balanced,Normal,Mixed,2015-09-10
8549,Middlesbrough,MID,https://example.com/logos/8549.png,Balanced,Little,Mixed,2015-09-10
8586,Tottenham Hotspur,TOT,https://example.com/logos/8586.png,Balanced,Normal,Mixed,2015-09-10
8559,Bolton Wanderers,BOL,https://example.com/logos/8559.png,Balanced,Normal,Mixed,2015-09-10
10194,Stoke City,STK,https://example.com/logos/10194.png,Balanced,Normal,Mixed,2015-09-10
8667,Hull City,HUL,https://example.com/logos/8667.png,Balanced,Normal,Mixed,2015-09-10
9879,Fulham,FUL,https://example.com/logos/9879.png,Balanced,Normal,Mixed,2015-09-10
8455,Chelsea,CHE,https://example.com/logos/8455.png,Fast,Normal,Mixed,2015-09-10
8462,Portsmouth,POR,https://example.com/logos/8462.png,Balanced,Little,Mixed,2015-09-10
